,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
135,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C=O,1.0,,,,,,,61971.728835841095 kilogram * meter ** 2 / mole / second ** 2,183.0230669448261 kilogram * meter ** 2 / mole / second ** 2,,,,
136,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,,,61181.02019157178 kilogram * meter ** 2 / mole / second ** 2,200.82679587889908 kilogram * meter ** 2 / mole / second ** 2,,,,
137,298.15 kelvin,101.325 kilopascal,6,1,c1cc(sc1)CC#N,1.0,,,,,,,62324.846512051714 kilogram * meter ** 2 / mole / second ** 2,241.97962611849067 kilogram * meter ** 2 / mole / second ** 2,,,,
138,298.15 kelvin,101.325 kilopascal,6,1,c1cscc1CC#N,1.0,,,,,,,63142.05852076639 kilogram * meter ** 2 / mole / second ** 2,220.20160096473413 kilogram * meter ** 2 / mole / second ** 2,,,,
139,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C#N,1.0,,,,,,,57812.61213522152 kilogram * meter ** 2 / mole / second ** 2,238.31204587627727 kilogram * meter ** 2 / mole / second ** 2,,,,
140,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccccc1OC,1.0,,,,,,,73387.22756697258 kilogram * meter ** 2 / mole / second ** 2,318.13390554213805 kilogram * meter ** 2 / mole / second ** 2,,,,
141,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1cccc(c1)OC,1.0,,,,,,,75611.38881886509 kilogram * meter ** 2 / mole / second ** 2,329.67900424429905 kilogram * meter ** 2 / mole / second ** 2,,,,
142,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,,,0.9625654678482448 gram / milliliter,0.00016198928260989574 gram / milliliter,,,,,21.648900849987413 dimensionless,1.258634563100662 dimensionless
143,303.15 kelvin,101.325 kilopascal,2,1,CC(=O)N(C)C,1.0,,,,,0.9342516435711008 gram / milliliter,0.00013508887728609016 gram / milliliter,,,,,23.98705587989153 dimensionless,1.2041433433771211 dimensionless
144,298.15 kelvin,101.325 kilopascal,2,1,c1ccc2c(c1)ccs2,1.0,,,,,1.1836103635315174 gram / milliliter,0.00039865432506427657 gram / milliliter,,,,,,
145,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,,,0.7963484784233585 gram / milliliter,0.00029624114342204316 gram / milliliter,,,,,7.292936200504698 dimensionless,1.145479400834417 dimensionless
146,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,,,0.7912855117341674 gram / milliliter,0.0002699595610734368 gram / milliliter,,,,,7.6360541926071575 dimensionless,1.0800588679370176 dimensionless
147,303.15 kelvin,101.0 kilopascal,2,1,C(CO)N,1.0,,,,,0.9247102377292155 gram / milliliter,0.0002190874940324286 gram / milliliter,,,,,28.279447880668688 dimensionless,1.3952863334637708 dimensionless
148,303.15 kelvin,101.325 kilopascal,2,1,C(CO)NCCO,1.0,,,,,1.0358562505185342 gram / milliliter,0.00011455585416774046 gram / milliliter,,,,,21.38600569894527 dimensionless,1.334221646863486 dimensionless
149,303.15 kelvin,101.325 kilopascal,2,1,C(CO)N(CCO)CCO,1.0,,,,,1.0968377160803895 gram / milliliter,0.0004065324879771316 gram / milliliter,,,,,6.841983525769976 dimensionless,1.0820980769362207 dimensionless
150,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,,,0.774884076848403 gram / milliliter,0.000353245211361608 gram / milliliter,,,,,8.564469965741036 dimensionless,0.9408227299775405 dimensionless
151,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,,,0.807344495383334 gram / milliliter,0.00022165105003081612 gram / milliliter,,,,,4.5416203241983855 dimensionless,0.7808907285214733 dimensionless
152,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,,,0.8147006319749827 gram / milliliter,0.0002695767853906839 gram / milliliter,,,,,4.4058319061806035 dimensionless,1.4031498366154382 dimensionless
153,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,,,0.8003066393486984 gram / milliliter,0.00029942005444265265 gram / milliliter,,,,,7.242425933169609 dimensionless,1.2557990792803693 dimensionless
154,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,,,0.8213682629027799 gram / milliliter,0.00026329152760375915 gram / milliliter,,,,,2.001786698291256 dimensionless,0.24204491282671692 dimensionless
155,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,,,1.008316488292398 gram / milliliter,0.0001578856111532328 gram / milliliter,,,,,16.59127595040725 dimensionless,1.471689714191918 dimensionless
156,298.15 kelvin,101.325 kilopascal,2,1,c1cc(cc(c1)Br)Cl,1.0,,,,,1.6327680324604317 gram / milliliter,0.00030392732875739187 gram / milliliter,,,,,,
157,298.15 kelvin,101.325 kilopascal,2,1,c1ccc(c(c1)Cl)Br,1.0,,,,,1.647239135246256 gram / milliliter,0.00043450751936659443 gram / milliliter,,,,,,
158,298.15 kelvin,101.0 kilopascal,2,1,C1CCS(=O)(=O)C1,1.0,,,,,1.2804565972644257 gram / milliliter,0.00017502819488506922 gram / milliliter,,,,,17.476242340838905 dimensionless,1.3740093574437853 dimensionless
159,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,,,0.8699046935624792 gram / milliliter,0.00021764748977400134 gram / milliliter,,,,,15.25495568650662 dimensionless,1.4474708593970391 dimensionless
160,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,,,0.8714157439387891 gram / milliliter,0.00028577139246806194 gram / milliliter,,,,,5.429076887691829 dimensionless,0.45744089940714067 dimensionless
161,298.15 kelvin,101.0 kilopascal,2,1,C(COCCOCCO)O,1.0,,,,,1.0784212911338185 gram / milliliter,0.0001573347136172051 gram / milliliter,,,,,11.977257462051849 dimensionless,1.1175911523292303 dimensionless
162,298.15 kelvin,101.325 kilopascal,2,1,CC(=C)C(=O)OCCO,1.0,,,,,1.0481869606207947 gram / milliliter,0.0003620900310270801 gram / milliliter,,,,,,
163,293.15 kelvin,101.325 kilopascal,2,1,C(=O)(C(F)(F)F)O,1.0,,,,,1.5568341916788768 gram / milliliter,0.0004340028084871834 gram / milliliter,,,,,,
164,296.1 kelvin,101.325 kilopascal,2,1,c1cc(ccc1F)F,1.0,,,,,1.1417520983941807 gram / milliliter,0.0002811628530628907 gram / milliliter,,,,,,
165,296.3 kelvin,101.325 kilopascal,2,1,c1c(cc(c(c1F)F)F)F,1.0,,,,,1.3651139005518753 gram / milliliter,0.0004277707266784466 gram / milliliter,,,,,,
166,298.15 kelvin,101.325 kilopascal,2,1,c1cc[nH]c1,1.0,,,,,1.0322585027618005 gram / milliliter,0.00033300149090909645 gram / milliliter,,,,,,
167,298.15 kelvin,101.0 kilopascal,2,1,C1CC(=O)OC1,1.0,,,,,1.0958356755824497 gram / milliliter,7.88552100167876e-05 gram / milliliter,,,,,38.98256664621741 dimensionless,1.3483558949778296 dimensionless
168,298.15 kelvin,101.325 kilopascal,2,1,C(CBr)Cl,1.0,,,,,1.698202485251381 gram / milliliter,0.00037613863156250665 gram / milliliter,,,,,,
169,298.15 kelvin,101.325 kilopascal,2,1,C(CCl)CBr,1.0,,,,,1.558249755773863 gram / milliliter,0.0003606715839202543 gram / milliliter,,,,,,
170,298.15 kelvin,101.325 kilopascal,2,1,C(CCBr)CCl,1.0,,,,,1.460002599870355 gram / milliliter,0.00041159581766861983 gram / milliliter,,,,,,
171,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,,,1.334856055874022 gram / milliliter,0.0003783125706578926 gram / milliliter,,,,,,
172,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,,,0.8941155837524977 gram / milliliter,0.00044933498699236286 gram / milliliter,,,,,,
173,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,,,0.8749025297990797 gram / milliliter,0.00029701972442392746 gram / milliliter,,,,,12.577261299714745 dimensionless,1.3457304985057938 dimensionless
174,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,,,0.9281633094933108 gram / milliliter,0.0002812248727375268 gram / milliliter,,,,,9.749176486221256 dimensionless,0.8101632439016627 dimensionless
175,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,,,1.435780351019095 gram / milliliter,0.00037467947021973 gram / milliliter,,,,,,
176,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,,,0.9359889128467378 gram / milliliter,0.0004438879341299945 gram / milliliter,,,,,,
177,298.15 kelvin,101.325 kilopascal,2,1,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,,,,,2.0840096862300057 gram / milliliter,0.0002964735176538941 gram / milliliter,,,,,,
178,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,0.7782225654741977 gram / milliliter,0.00031225842956457016 gram / milliliter,,,,,,
179,298.15 kelvin,101.0 kilopascal,2,1,CC(=O)c1cccs1,1.0,,,,,1.1722814446371972 gram / milliliter,0.000254280029604028 gram / milliliter,,,,,2.4303901234941843 dimensionless,0.27672868057454514 dimensionless
180,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,,,2.8801520243973977 gram / milliliter,0.00042765053400168094 gram / milliliter,,,,,,
181,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,,,1.9784834336154482 gram / milliliter,0.00041301472889065575 gram / milliliter,,,,,,
182,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,,,1.3823383646035197 gram / milliliter,0.0003517648611540049 gram / milliliter,,,,,,
183,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,,,1.0484392259156066 gram / milliliter,0.00039259167820621837 gram / milliliter,,,,,,
