,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty
137,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,,,,,62.2 kilojoule / mole,0.0 kilojoule / mole,,
138,298.15 kelvin,101.325 kilopascal,6,1,c1cc(sc1)CC#N,1.0,,,,,,,,,60.5 kilojoule / mole,0.0 kilojoule / mole,,
139,298.15 kelvin,101.325 kilopascal,6,1,c1cscc1CC#N,1.0,,,,,,,,,61.1 kilojoule / mole,0.0 kilojoule / mole,,
140,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C#N,1.0,,,,,,,,,54.4 kilojoule / mole,0.0 kilojoule / mole,,
141,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccccc1OC,1.0,,,,,,,,,66.7 kilojoule / mole,0.0 kilojoule / mole,,
142,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1cccc(c1)OC,1.0,,,,,,,,,67.8 kilojoule / mole,0.0 kilojoule / mole,,
143,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,,,,,36.55 dimensionless,0.0 dimensionless,,,939.0 kilogram / meter ** 3,0.0 kilogram / meter ** 3
144,303.15 kelvin,101.325 kilopascal,2,1,CC(=O)N(C)C,1.0,,,,,,,37.72 dimensionless,0.0 dimensionless,,,931.762 kilogram / meter ** 3,0.0 kilogram / meter ** 3
145,298.15 kelvin,101.325 kilopascal,2,1,c1ccc2c(c1)ccs2,1.0,,,,,,,,,,,1427.0 kilogram / meter ** 3,0.0 kilogram / meter ** 3
146,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,,,,,17.96 dimensionless,0.0 dimensionless,,,797.54 kilogram / meter ** 3,0.0 kilogram / meter ** 3
147,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,,,,,17.54 dimensionless,0.0 dimensionless,,,805.24 kilogram / meter ** 3,0.0 kilogram / meter ** 3
148,303.15 kelvin,101.0 kilopascal,2,1,C(CO)N,1.0,,,,,,,31.46 dimensionless,0.0 dimensionless,,,1008.323 kilogram / meter ** 3,0.0 kilogram / meter ** 3
149,303.15 kelvin,101.325 kilopascal,2,1,C(CO)NCCO,1.0,,,,,,,24.69 dimensionless,0.0 dimensionless,,,1090.788 kilogram / meter ** 3,0.0 kilogram / meter ** 3
150,303.15 kelvin,101.325 kilopascal,2,1,C(CO)N(CCO)CCO,1.0,,,,,,,28.11 dimensionless,0.0 dimensionless,,,1118.209 kilogram / meter ** 3,0.0 kilogram / meter ** 3
151,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,,,,,18.562 dimensionless,0.0 dimensionless,,,779.2 kilogram / meter ** 3,0.0 kilogram / meter ** 3
152,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,,,,,13.06 dimensionless,0.0 dimensionless,,,815.3 kilogram / meter ** 3,0.0 kilogram / meter ** 3
153,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,,,,,11.41 dimensionless,0.0 dimensionless,,,818.79 kilogram / meter ** 3,0.0 kilogram / meter ** 3
154,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,,,,,15.144 dimensionless,0.0 dimensionless,,,810.89 kilogram / meter ** 3,0.0 kilogram / meter ** 3
155,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,,,,,10.01 dimensionless,0.0 dimensionless,,,821.9 kilogram / meter ** 3,0.0 kilogram / meter ** 3
